Token(type='PREPROC', value='#ifndef DACC_DRIVER', line=1, column=0)
Token(type='PAROPEN', value='(', line=5, column=14)
Token(type='ID', value='void', line=5, column=15)
Token(type='PARCLOSE', value=')', line=5, column=19)
Token(type='END', value=';', line=5, column=20)
Token(type='ID', value='void', line=7, column=0)
Token(type='ID', value='dacc_write', line=7, column=5)
Token(type='PAROPEN', value='(', line=7, column=15)
Token(type='ID', value='uint16_t', line=7, column=16)
Token(type='ID', value='word', line=7, column=25)
Token(type='PARCLOSE', value=')', line=7, column=30)
Token(type='END', value=';', line=7, column=31)
Token(type='ID', value='void', line=9, column=0)
Token(type='ID', value='dacc_joystick_to_converter', line=9, column=5)
Token(type='PAROPEN', value='(', line=9, column=31)
Token(type='ID', value='uint8_t', line=9, column=32)
Token(type='ID', value='y', line=9, column=40)
Token(type='PARCLOSE', value=')', line=9, column=41)
Token(type='END', value=';', line=9, column=42)
Token(type='PREPROC', value='#endif', line=11, column=0)
Token(type='PREPROC', value='#ifndef DACC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define DACC_DRIVER', line=2, column=0)
Token(type='PREPROC', value='#include <stdint.h>', line=3, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='dacc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=14)
Token(type='ID', value='void', line=5, column=15)
Token(type='PARCLOSE', value=')', line=5, column=19)
Token(type='END', value=';', line=5, column=20)
Token(type='ID', value='void', line=7, column=0)
Token(type='ID', value='dacc_write', line=7, column=5)
Token(type='PAROPEN', value='(', line=7, column=15)
Token(type='ID', value='uint16_t', line=7, column=16)
Token(type='ID', value='word', line=7, column=25)
Token(type='PARCLOSE', value=')', line=7, column=30)
Token(type='END', value=';', line=7, column=31)
Token(type='ID', value='void', line=9, column=0)
Token(type='ID', value='dacc_joystick_to_converter', line=9, column=5)
Token(type='PAROPEN', value='(', line=9, column=31)
Token(type='ID', value='uint8_t', line=9, column=32)
Token(type='ID', value='y', line=9, column=40)
Token(type='PARCLOSE', value=')', line=9, column=41)
Token(type='END', value=';', line=9, column=42)
Token(type='PREPROC', value='#endif', line=11, column=0)
Token(type='PREPROC', value='#ifndef DACC_DRIVER', line=1, column=0)
Token(type='PREPROC', value='#define DACC_DRIVER', line=2, column=0)
Token(type='PREPROC', value='#include <stdint.h>', line=3, column=0)
Token(type='ID', value='void', line=5, column=0)
Token(type='ID', value='dacc_init', line=5, column=5)
Token(type='PAROPEN', value='(', line=5, column=14)
Token(type='ID', value='void', line=5, column=15)
Token(type='PARCLOSE', value=')', line=5, column=19)
Token(type='END', value=';', line=5, column=20)
Token(type='ID', value='void', line=7, column=0)
Token(type='ID', value='dacc_write', line=7, column=5)
Token(type='PAROPEN', value='(', line=7, column=15)
Token(type='ID', value='uint16_t', line=7, column=16)
Token(type='ID', value='word', line=7, column=25)
Token(type='PARCLOSE', value=')', line=7, column=30)
Token(type='END', value=';', line=7, column=31)
Token(type='ID', value='void', line=9, column=0)
Token(type='ID', value='dacc_joystick_to_converter', line=9, column=5)
Token(type='PAROPEN', value='(', line=9, column=31)
Token(type='ID', value='uint8_t', line=9, column=32)
Token(type='ID', value='y', line=9, column=40)
Token(type='PARCLOSE', value=')', line=9, column=41)
Token(type='END', value=';', line=9, column=42)
Token(type='PREPROC', value='#endif', line=11, column=0)
